Country_Name,Country_Code,Time,Time_Code,ST_INT_DPRT,ST_INT_ARVL,ST_INT_XPND_CD,ST_INT_XPND_MP_ZS,ST_INT_RCPT_XP_ZS,SP_POP_GROW,SP_POP_TOTL,AG_LND_TOTL_K2,NY_GDP_MKTP_CD,NY_GDP_MKTP_KD_ZG,ST_INT_TRNX_CD,SP_DYN_LE00_IN,IS_AIR_DPRT,NY_GNP_MKTP_KD_ZG,NY_GNP_PCAP_KD_ZG,SE_PRM_CUAT_ZS,SE_SEC_CUAT_LO_ZS
"Bahamas, The",BHS,2019,YR2019,,7250000,514000000,10.59398584,80.3897619,0.99365949,389486,10010,13192800000,1.896163703,179000000,73.918,47733,3.51590765,2.492405495,,
British Virgin Islands,VGB,2012,YR2012,139000,351000,,,,1.151293868,28654,150,,,,,,,,,
British Virgin Islands,VGB,2013,YR2013,,366000,,,,0.681694348,28850,150,,,,,,,,,
British Virgin Islands,VGB,2014,YR2014,,386000,,,,0.466846184,28985,150,,,,,,,,,
British Virgin Islands,VGB,2015,YR2015,,393000,,,,0.560784502,29148,150,,,,,,,,,
British Virgin Islands,VGB,2016,YR2016,,408000,,,,0.707658971,29355,150,,,,,,,,,
British Virgin Islands,VGB,2017,YR2017,,335000,,,,0.719598502,29567,150,,,,,,,,,
British Virgin Islands,VGB,2018,YR2018,,192000,,,,0.768171966,29795,150,,,,,,,,,
British Virgin Islands,VGB,2019,YR2019,,302399.9939,,,,0.795618291,30033,150,,,,,,,,,
Virgin Islands (U.S.),VIR,2012,YR2012,,2640000,,,,-0.094235911,108188,350,4089000000,-14.8125,,78.51707317,,,,,
Virgin Islands (U.S.),VIR,2013,YR2013,,2702000,,,,-0.135966982,108041,350,3738000000,-6.285155295,,78.71707317,,,,,
Virgin Islands (U.S.),VIR,2014,YR2014,,2814000,,,,-0.14727475,107882,350,3565000000,-1.774530271,,78.86829268,,,,,
Virgin Islands (U.S.),VIR,2015,YR2015,,2643000,,,,-0.157703865,107712,350,3663000000,-0.425079702,,79.01707317,,,,,
Virgin Islands (U.S.),VIR,2016,YR2016,,2574000,,,,-0.182132487,107516,350,3798000000,1.600853789,,79.16829268,,,,,
Virgin Islands (U.S.),VIR,2017,YR2017,,1954000,,,,-0.218811337,107281,350,3794000000,-0.735294118,,79.36829268,,,,,
Virgin Islands (U.S.),VIR,2018,YR2018,,1922000,,,,-0.261338012,107001,350,3922000000,1.904761905,,79.5195122,,,,,
Virgin Islands (U.S.),VIR,2019,YR2019,,2074000,,,,-0.310759833,106669,350,4117000000,2.777777778,,79.66829268,,,,,
